device_id,device_type,hour_meter,due_date
ESKT23H09-18215,71E HD820-8,11,2023-08-09
ESKT23H09-18216,71E HD820-8,35,2023-08-09
ESKT23H09-18218,53E HD514MR-7,28,2023-08-09
ESKT23H09-18219,53E HD514MR-7,2,2023-08-09
ESKT23H09-18220,71E HD820-8,6,2023-08-09
ESKT23H09-18221,71E HD820-8,5,2023-08-09
ESKT23H09-18222,71E HD820-8,17,2023-08-09
ESKT23H09-18224,53E HD514MR-7,33,2023-08-09
ESKT23H09-18225,71E HD820-8,8,2023-08-09
ESKT23F30-18198,52E HD512-7,1,2023-06-30
ESKT23F30-18204,52E HD512-7,38,2023-06-30
ESKT23F29-18191,53E HD514MR-7,189,2023-06-29
ESKT23F29-18192,53E HD514MR-7,11,2023-06-29
ESKT23F29-18193,53E HD514MR-7,13,2023-06-29
ESKT23D04-17208,52E HD512-7,136,2023-04-04
ESKT23D04-17209,52E HD512-7,49,2023-04-04
ESKT23D04-17210,52E HD512-7,50,2023-04-04
ESKT23D04-17211,53E HD514MR-7,41,2023-04-04
ESKT23D04-17213,53E HD514MR-7,36,2023-04-04
ESKT23D04-17216,53E HD514MR-7,36,2023-04-04
ESKT23D04-17219,53E HD514MR-7,91,2023-04-04
ESKT23D04-17222,53E HD514MR-7,72,2023-04-04
ESKT23C07-17108,53E HD514MR-7,448,2023-03-07
ESKT23C07-17109,53E HD514MR-7,6,2023-03-07
ESKT23C07-17112,71E HD820-8,487,2023-03-07
ESKT23C07-17117,52E HD512-7,124,2023-03-07
ESKT23C07-17118,52E HD512-7,115,2023-03-07
ESKT23C07-17119,52E HD512-7,135,2023-03-07
ESKT23C07-17126,71E HD820-8,119,2023-03-07
ESKT23C07-17128,53E HD514MR-7,90,2023-03-07
ESKT23C07-17129,53E HD514MR-7,97,2023-03-07
ESKT23C07-17130,53E HD514MR-7,70,2023-03-07
ESKT23C07-17131,55E HD823MR-7,2,2023-03-07
ESKT23C07-17132,54E HD1430-7,4,2023-03-07
ESKT23C07-17135,53E HD514MR-7,30,2023-03-07
ESKT23C06-17091,58E HD308US-7,6,2023-03-06
ESKT23B08-17066,52E HD512-7,150,2023-02-08
ESKT23B08-17067,53E HD514MR-7,1,2023-02-08
ESKT23B08-17069,71E HD820-8,433,2023-02-08
ESKT23B08-17071,53E HD514MR-7,300,2023-02-08
ESKT23B08-17075,55E HD823MR-7,453,2023-02-08
ESKT23B08-17079,53E HD514MR-7,164,2023-02-08
ESKT23B08-17081,53E HD514MR-7,321,2023-02-08
ESKT23B06-17045,53E HD514MR-7,139,2023-02-06
ESKT23B06-17049,53E HD514MR-7,595,2023-02-06
ESKT23B06-17051,53E HD514MR-7,211,2023-02-06
ESKT23B06-17055,51E HD820-7,93,2023-02-06
ESKT23B06-17057,53E HD514MR-7,916,2023-02-06
ESKT23B06-17059,52E HD512-7,11,2023-02-06
ESKT23B06-17061,51E HD820-7,505,2023-02-06
ESKT23B06-17064,51E HD820-7,566,2023-02-06
ESKT23A24-17024,53E HD514MR-7,5,2023-01-24
ESKT23A24-17026,51E HD820-7,150,2023-01-24
ESKT23A24-17035,52E HD512-7,1099,2023-01-24
ESKT23A24-17037,52E HD512-7,528,2023-01-24
ESKT23A24-17040,52E HD512-7,517,2023-01-24
ESKT23A24-17042,52E HD512-7,32,2023-01-24
ESKT23A20-17006,53E HD514MR-7,13,2023-01-20
ESKT23A20-17008,52E HD512-7,47,2023-01-20
ESKT23A20-17010,52E HD512-7,6,2023-01-20
ESKT23A20-17014,53E HD514MR-7,0,2023-01-20
ESKT23A20-17016,53E HD514MR-7,363,2023-01-20
