device_id,latitude,longitude
ESKT23H09-18215,42.856133,141.60595
ESKT23H09-18216,43.0155,142.830228
ESKT23H09-18218,39.611578,140.250336
ESKT23H09-18219,39.361997,140.075072
ESKT23H09-18220,42.816792,141.596069
ESKT23H09-18221,43.279119,141.462778
ESKT23H09-18222,43.321306,141.423458
ESKT23H09-18224,43.135683,141.224592
ESKT23H09-18225,42.855958,141.605694
ESKT23F30-18198,42.961075,143.210436
ESKT23F30-18204,36.384683,139.021758
ESKT23F29-18191,42.484189,140.350997
ESKT23F29-18192,40.21775,140.261561
ESKT23F29-18193,39.099436,141.862619
ESKT23D04-17208,44.457669,143.1692
ESKT23D04-17209,42.239258,140.298617
ESKT23D04-17210,45.115342,141.731628
ESKT23D04-17211,42.166133,140.333761
ESKT23D04-17213,42.001242,140.879381
ESKT23D04-17216,44.064308,141.902931
ESKT23D04-17219,39.816069,141.455475
ESKT23D04-17222,43.693919,144.0442
ESKT23C07-17108,35.870053,139.825889
ESKT23C07-17109,43.850664,143.609133
ESKT23C07-17112,35.802392,139.832875
ESKT23C07-17117,41.966853,140.914381
ESKT23C07-17118,44.848403,142.655403
ESKT23C07-17119,44.838486,142.660358
ESKT23C07-17126,43.173261,141.519558
ESKT23C07-17128,43.639767,145.1169
ESKT23C07-17129,35.797683,139.752858
ESKT23C07-17130,35.797714,139.752867
ESKT23C07-17131,41.257536,141.223153
ESKT23C07-17132,35.835072,140.400233
ESKT23C07-17135,40.648472,140.529092
ESKT23C06-17091,39.250058,141.493792
ESKT23B08-17066,40.301758,140.422136
ESKT23B08-17067,38.860042,140.262875
ESKT23B08-17069,43.011425,141.727867
ESKT23B08-17071,35.431519,139.556139
ESKT23B08-17075,35.663203,139.753025
ESKT23B08-17079,40.566758,141.264922
ESKT23B08-17081,43.920642,144.250439
ESKT23B06-17045,35.913811,139.706186
ESKT23B06-17049,35.913919,139.706283
ESKT23B06-17051,42.820997,140.545728
ESKT23B06-17055,43.780917,144.003064
ESKT23B06-17057,35.674167,139.767294
ESKT23B06-17059,42.960981,143.210411
ESKT23B06-17061,35.540492,139.638872
ESKT23B06-17064,35.612994,139.651567
ESKT23A24-17024,44.053653,143.251836
ESKT23A24-17026,42.850778,141.674683
ESKT23A24-17035,41.80975,140.152436
ESKT23A24-17037,41.793106,140.975058
ESKT23A24-17040,42.815428,141.920078
ESKT23A24-17042,43.734278,142.631533
ESKT23A20-17006,40.484286,140.672511
ESKT23A20-17008,36.223644,139.479803
ESKT23A20-17010,43.797136,142.476108
ESKT23A20-17014,0.0,0.0
ESKT23A20-17016,40.333594,141.015
ESKT23A20-17018,43.924211,144.016308
ESKT22K15-16211,40.098119,140.785847
ESKT22K15-16215,36.328786,139.014081
ESKT22K15-16221,42.754778,141.698853
ESKT22K15-16225,34.292719,134.016108
ESKT22K15-16226,36.132936,139.312781
ESKT22K15-16228,40.261383,140.775492
ESKT22K15-16229,42.764061,141.923833
ESKT22K15-16231,39.146978,140.747283
ESKT22K15-16232,40.185083,140.046175
