device_id,latitude,longitude
ESKT23F30-18200,34.800506,133.375478
ESKT1G05-11081,34.803564,135.804542
ESKT23C07-17121,34.812125,134.185458
ESKT23F30-18194,34.48065,132.407542
ESKT23F30-18202,34.168675,132.243292
ESKT23F30-18206,31.641844,130.560878
ESKT23F30-18207,24.754083,125.351033
ESKT23F30-18208,35.085881,136.835403
ESKT23F30-18212,34.596775,135.798919
ESKT22I07-08164,34.348978,132.344553
ESKT23B06-17052,34.091972,131.582478
ESKT23B08-17080,34.092167,131.583264
ESKT23B08-17065,34.408144,132.878614
ESKT23B06-17063,31.758753,131.103383
ESKT23B06-17053,34.157819,132.150519
ESKT23D04-17194,34.568383,135.729183
ESKT23D04-17198,26.232486,127.775661
ESKT23D04-17199,31.982017,131.397914
ESKT23D04-17200,31.976014,131.399169
ESKT23D04-17203,34.274358,133.815094
ESKT23D04-17207,31.975961,131.399278
ESKT23D04-17212,26.373653,127.82415
ESKT23D04-17214,34.215011,131.519792
ESKT23D04-17215,32.814361,130.336878
ESKT23D04-17218,24.366714,124.160925
ESKT23D04-17221,34.237281,133.882303
ESKT23A24-17041,34.44255,131.4219
ESKT22I07-08148,34.657758,135.450467
ESKT22I07-08155,35.491911,134.783008
ESKT1B01-09137,34.171456,131.467272
ESKT23C07-17110,34.216092,134.154125
ESKT23C07-17120,26.665228,127.982678
ESKT23C07-17122,26.140692,127.739411
ESKT23C07-17123,34.633581,133.897369
ESKT23C07-17124,26.232411,127.775639
ESKT23C07-17125,34.981147,135.899017
ESKT23C07-17133,33.567858,132.712569
ESKT23C07-17134,34.792928,135.618464
ESKT23C06-17088,26.210864,127.660306
ESKT23C06-17089,26.4908,127.853639
ESKT23C06-17094,34.029803,131.377708
ESKT23C06-17095,33.928161,130.851283
ESKT23A20-17013,34.031819,131.184244
ESKT1A25-09125,33.964467,131.170897
ESKT22H24-08069,34.756081,135.466681
ESKT23A20-17007,35.201658,134.182817
ESKT23B08-17068,34.648458,135.597619
ESKT23B08-17072,31.628833,130.374808
ESKT23B08-17077,35.080381,134.013383
ESKT23B08-17078,34.506419,135.801633
ESKT23B08-17082,32.866619,132.898683
ESKT23B06-17058,32.246625,131.102303
ESKT23A24-17027,31.975594,131.399072
ESKT23A24-17028,34.334619,132.118678
ESKT23A24-17029,35.073808,136.045236
ESKT23A24-17030,34.848692,135.644922
ESKT23A24-17034,26.312708,127.914136
ESKT22I07-08167,24.356981,124.231028
ESKT22J05-16205,24.358903,124.231694
ESKT23A20-17012,33.363131,130.308233
ESKT23A20-17015,24.461319,123.01435
ESKT23A20-17020,33.697519,130.48725
ESKT23A20-17022,34.526811,135.899075
ESKT23A20-17023,26.241119,127.729286
ESKT22I07-08179,34.214389,131.519192
ESKT22H24-08062,34.527778,135.511353
ESKT22H19-08036,34.520444,135.369825
ESKT22H24-08091,34.407939,132.878397
ESKT22K15-16208,26.350683,127.749317
ESKT22K15-16209,30.465172,130.867261
ESKT22K15-16210,24.814269,125.283892
ESKT22K15-16212,30.465608,130.867339
ESKT22K15-16213,34.664392,132.97795
ESKT22K15-16214,33.200275,130.278969
ESKT22K15-16216,26.505925,127.868589
ESKT22K15-16218,34.568328,135.729667
ESKT22K15-16224,33.889314,133.188019
ESKT22K15-16227,33.902867,133.183894
ESKT22K15-16234,30.466236,130.867203
ESKT22K15-16235,30.466064,130.867306
ESKT22K15-16239,32.938217,131.268161
ESKT22K15-16242,26.491131,127.8451
ESKT22K15-16247,26.918292,127.932483
ESKT22H24-08095,34.409525,135.331603
ESKT22H08-14184,24.452425,123.01725
ESKT22J05-08193,34.354867,135.237358
ESKT22J05-16201,0.0,0.0
ESKT22H08-14168,34.790883,134.616747
ESKT22I07-08147,26.671617,127.971008
ESKT22I07-08154,33.374364,132.949953
ESKT22I07-08156,30.524081,130.949136
ESKT22I07-08158,26.326136,127.851353
ESKT22I07-08160,26.226283,127.760047
ESKT22I07-08161,24.750403,125.388733
ESKT22I07-08162,33.024019,131.187536
ESKT22I07-08165,33.475969,133.136625
ESKT22I07-08168,24.810811,125.196486
ESKT22I07-08172,34.628414,136.147725
ESKT22H24-08066,37.672661,140.354117
ESKT22H24-08067,32.869944,129.725567
ESKT22H24-08072,26.552975,128.057203
ESKT22H24-08073,37.662514,140.354122
ESKT22H24-08074,32.29905,130.982675
ESKT22H24-08076,26.636331,127.975403
ESKT22H24-08086,34.721761,135.786617
ESKT22H24-08088,34.735103,135.679628
ESKT22H24-08092,32.813964,130.337025
ESKT22H19-08024,33.311308,132.627417
ESKT22H19-08031,24.838008,125.177333
ESKT22H19-08037,34.883569,135.617106
ESKT22H19-08038,31.662761,130.340483
ESKT22H19-08039,34.441508,133.079042
ESKT22H19-08041,26.365978,127.832392
ESKT22H19-08043,33.980053,133.438397
ESKT22H19-08046,35.3665,134.322703
ESKT22H19-08050,34.568353,135.730092
ESKT22H19-08054,26.289633,127.768706
ESKT22H19-08055,35.607219,139.131597
ESKT22H19-08057,26.202903,127.705419
ESKT22H19-08058,26.232467,127.775633
ESKT22H18-08001,33.187547,131.644217
ESKT22H18-08005,33.978678,133.461486
ESKT22H18-08012,32.9436,130.822414
ESKT22H18-08013,35.116322,135.461222
ESKT22H18-08014,34.784192,134.596406
ESKT22H18-08017,31.628464,131.313928
ESKT22H18-08018,33.847581,133.374467
ESKT22H18-08020,34.951589,135.768558
ESKT22H08-14167,26.162711,127.774275
ESKT22H08-14175,32.849192,130.008669
ESKT22H08-14179,34.568758,135.730167
ESKT22E13-14124,26.358511,127.747158
ESKT22G11-14152,35.541267,134.192817
ESKT22G11-14153,24.766717,125.318931
ESKT22G11-14154,32.884008,132.881672
ESKT22G11-14155,34.626908,136.085142
ESKT22G11-14163,33.732119,134.186136
ESKT22G11-14165,31.915839,131.341583
ESKT22E09-14097,31.829669,130.982386
ESKT22F15-14136,34.287372,133.832469
ESKT22F15-14138,26.354592,127.852225
ESKT22F15-14142,34.2744,133.815669
ESKT22F15-14143,33.934042,134.5873
ESKT22F15-14144,31.610886,130.459486
